mois;zone_climatique;nhecl_jour;nj;nhecl
01;H1a;7;31;217
02;H1a;6;28;168
03;H1a;5;31;155
04;H1a;3;30;90
05;H1a;2;31;62
06;H1a;1;30;30
07;H1a;1;31;31
08;H1a;3;31;93
09;H1a;4;30;120
10;H1a;6;31;186
11;H1a;6;30;180
12;H1a;7;24;168
01;H1b;6;31;186
02;H1b;6;28;168
03;H1b;5;31;155
04;H1b;3;30;90
05;H1b;2;31;62
06;H1b;1;30;30
07;H1b;1;31;31
08;H1b;3;31;93
09;H1b;4;30;120
10;H1b;6;31;186
11;H1b;6;30;180
12;H1b;6;24;144
01;H1c;6;31;186
02;H1c;6;28;168
03;H1c;5;31;155
04;H1c;3;30;90
05;H1c;2;31;62
06;H1c;1;30;30
07;H1c;2;31;62
08;H1c;3;31;93
09;H1c;4;30;120
10;H1c;6;31;186
11;H1c;6;30;180
12;H1c;6;24;144
01;H2a;7;31;217
02;H2a;6;28;168
03;H2a;5;31;155
04;H2a;3;30;90
05;H2a;2;31;62
06;H2a;1;30;30
07;H2a;1;31;31
08;H2a;3;31;93
09;H2a;4;30;120
10;H2a;6;31;186
11;H2a;6;30;180
12;H2a;7;24;168
01;H2b;7;31;217
02;H2b;6;28;168
03;H2b;5;31;155
04;H2b;3;30;90
05;H2b;2;31;62
06;H2b;1;30;30
07;H2b;2;31;62
08;H2b;3;31;93
09;H2b;4;30;120
10;H2b;6;31;186
11;H2b;6;30;180
12;H2b;7;24;168
01;H2c;6;31;186
02;H2c;6;28;168
03;H2c;5;31;155
04;H2c;4;30;120
05;H2c;2;31;62
06;H2c;2;30;60
07;H2c;2;31;62
08;H2c;3;31;93
09;H2c;5;30;150
10;H2c;6;31;186
11;H2c;6;30;180
12;H2c;6;24;144
01;H2d;6;31;186
02;H2d;6;28;168
03;H2d;5;31;155
04;H2d;4;30;120
05;H2d;2;31;62
06;H2d;2;30;60
07;H2d;2;31;62
08;H2d;3;31;93
09;H2d;5;30;150
10;H2d;6;31;186
11;H2d;6;30;180
12;H2d;6;24;144
01;H3;6;31;186
02;H3;6;28;168
03;H3;5;31;155
04;H3;4;30;120
05;H3;2;31;62
06;H3;2;30;60
07;H3;2;31;62
08;H3;3;31;93
09;H3;4;30;120
10;H3;6;31;186
11;H3;5;30;150
12;H3;6;24;144
