type_generateur;type_combustion;energie_generateur;annee_installation_generateur/gte;annee_installation_generateur/lte;pn/gt;pn/lte;pn_max;rpn;qp0;pveilleuse
accumulateur;basse_temperature;gaz_naturel;;1989;;;;81;1.5 / 100 * Pn;200
accumulateur;basse_temperature;gaz_naturel;1990;2000;;;;84;1.5 / 100 * Pn;150
accumulateur;basse_temperature;gaz_naturel;2001;;;;;84;1.5 / 100 * Pn;150
accumulateur;basse_temperature;gpl;;1989;;;;81;1.5 / 100 * Pn;200
accumulateur;basse_temperature;gpl;1990;2000;;;;84;1.5 / 100 * Pn;150
accumulateur;basse_temperature;gpl;2001;;;;;84;1.5 / 100 * Pn;150
accumulateur;condensation;gaz_naturel;;2000;;;;98;1.5 / 100 * Pn;0
accumulateur;condensation;gaz_naturel;2001;;;;;98;1.5 / 100 * Pn;0
accumulateur;condensation;gpl;;2000;;;;98;1.5 / 100 * Pn;0
accumulateur;condensation;gpl;2001;;;;;98;1.5 / 100 * Pn;0
accumulateur;standard;gaz_naturel;;1989;;;;81;1.5 / 100 * Pn;200
accumulateur;standard;gaz_naturel;1990;2000;;;;84;1.5 / 100 * Pn;150
accumulateur;standard;gaz_naturel;2001;;;;;84;1.5 / 100 * Pn;150
accumulateur;standard;gpl;;1989;;;;81;1.5 / 100 * Pn;200
accumulateur;standard;gpl;1990;2000;;;;84;1.5 / 100 * Pn;150
accumulateur;standard;gpl;2001;;;;;84;1.5 / 100 * Pn;150
chaudiere;basse_temperature;fioul;;2015;;;;87.5 + 1.5 * logPn;1.0 / 100 * Pn;0
chaudiere;basse_temperature;fioul;2016;;;;;87.5 + 1.5 * logPn;Pn * (E + F * logPn) / 100 * Pn;0
chaudiere;basse_temperature;gaz_naturel;;2000;;;;87.5 + 1.5 * logPn;1.2 / 100 * Pn;120
chaudiere;basse_temperature;gaz_naturel;2001;2015;;;;87.5 + 1.5 * logPn;1.0 / 100 * Pn;0
chaudiere;basse_temperature;gaz_naturel;2016;;;;;87.5 + 1.5 * logPn;Pn * (E + F * logPn) / 100 * Pn;0
chaudiere;basse_temperature;gpl;;2000;;;;87.5 + 1.5 * logPn;1.2 / 100 * Pn;120
chaudiere;basse_temperature;gpl;2001;2015;;;;87.5 + 1.5 * logPn;1.0 / 100 * Pn;0
chaudiere;basse_temperature;gpl;2016;;;;;87.5 + 1.5 * logPn;Pn * (E + F * logPn) / 100 * Pn;0
chaudiere;condensation;fioul;;2015;;;;91 + logPn;1.0 / 100 * Pn;0
chaudiere;condensation;fioul;2016;;;70;;91 + 3 * logPn;0.5 / 100 * Pn;0
chaudiere;condensation;fioul;2016;;70;400;;94 + logPn;0.6 / 100 * Pn;0
chaudiere;condensation;fioul;2016;;400;;400;96.6;0.3 / 100 * Pn;0
chaudiere;condensation;gaz_naturel;;1985;;;;91 + logPn;1.0 / 100 * Pn;150
chaudiere;condensation;gaz_naturel;1986;2000;;;;91 + logPn;1.0 / 100 * Pn;120
chaudiere;condensation;gaz_naturel;2001;2015;;;;91 + logPn;1.0 / 100 * Pn;0
chaudiere;condensation;gaz_naturel;2016;;;70;;91 + 3 * logPn;0.5 / 100 * Pn;0
chaudiere;condensation;gaz_naturel;2016;;70;400;;94 + logPn;0.3 / 100 * Pn;0
chaudiere;condensation;gaz_naturel;2016;;400;;400;96.6;0.3 / 100 * Pn;0
chaudiere;condensation;gpl;;1985;;;;91 + logPn;1.0 / 100 * Pn;150
chaudiere;condensation;gpl;1986;2000;;;;91 + logPn;1.0 / 100 * Pn;120
