configuration;zone_climatique;annee_construction_isolation/gte;annee_construction_isolation/lte;effet_joule;u;tv_uph_id
rampants;H1;;1974;1;2.5;1
rampants;H1;;1974;0;2.5;2
rampants;H2;;1974;1;2.5;3
rampants;H2;;1974;0;2.5;4
rampants;H3;;1974;1;2.5;5
rampants;H3;;1974;0;2.5;6
rampants;H1;1975;1977;1;0.5;7
rampants;H1;1975;1977;0;0.5;8
rampants;H2;1975;1977;1;0.53;9
rampants;H2;1975;1977;0;0.53;10
rampants;H3;1975;1977;1;0.56;11
rampants;H3;1975;1977;0;0.56;12
rampants;H1;1978;1982;1;0.4;13
rampants;H1;1978;1982;0;0.5;14
rampants;H2;1978;1982;1;0.42;15
rampants;H2;1978;1982;0;0.53;16
rampants;H3;1978;1982;1;0.44;17
rampants;H3;1978;1982;0;0.56;18
rampants;H1;1983;1988;1;0.3;19
rampants;H1;1983;1988;0;0.3;20
rampants;H2;1983;1988;1;0.32;21
rampants;H2;1983;1988;0;0.32;22
rampants;H3;1983;1988;1;0.33;23
rampants;H3;1983;1988;0;0.33;24
rampants;H1;1989;2000;1;0.25;25
rampants;H1;1989;2000;0;0.25;26
rampants;H2;1989;2000;1;0.26;27
rampants;H2;1989;2000;0;0.26;28
rampants;H3;1989;2000;1;0.3;29
rampants;H3;1989;2000;0;0.3;30
rampants;H1;2001;2005;1;0.23;31
rampants;H1;2001;2005;0;0.23;32
rampants;H2;2001;2005;1;0.23;33
rampants;H2;2001;2005;0;0.23;34
rampants;H3;2001;2005;1;0.3;35
rampants;H3;2001;2005;0;0.3;36
rampants;H1;2006;2012;1;0.2;37
rampants;H1;2006;2012;0;0.2;38
rampants;H2;2006;2012;1;0.2;39
rampants;H2;2006;2012;0;0.2;40
rampants;H3;2006;2012;1;0.25;41
rampants;H3;2006;2012;0;0.25;42
rampants;H1;2013;;1;0.14;43
rampants;H1;2013;;0;0.14;44
rampants;H2;2013;;1;0.14;45
rampants;H2;2013;;0;0.14;46
rampants;H3;2013;;1;0.14;47
rampants;H3;2013;;0;0.14;48
combles_perdus;H1;;1974;1;2.5;49
combles_perdus;H1;;1974;0;2.5;50
combles_perdus;H2;;1974;1;2.5;51
combles_perdus;H2;;1974;0;2.5;52
combles_perdus;H3;;1974;1;2.5;53
combles_perdus;H3;;1974;0;2.5;54
combles_perdus;H1;1975;1977;1;0.75;55
combles_perdus;H1;1975;1977;0;0.75;56
combles_perdus;H2;1975;1977;1;0.79;57
combles_perdus;H2;1975;1977;0;0.79;58
combles_perdus;H3;1975;1977;1;0.83;59
combles_perdus;H3;1975;1977;0;0.83;60
combles_perdus;H1;1978;1982;1;0.7;61
combles_perdus;H1;1978;1982;0;0.75;62
combles_perdus;H2;1978;1982;1;0.74;63
combles_perdus;H2;1978;1982;0;0.79;64
combles_perdus;H3;1978;1982;1;0.78;65
combles_perdus;H3;1978;1982;0;0.83;66
combles_perdus;H1;1983;1988;1;0.4;67
combles_perdus;H1;1983;1988;0;0.55;68
combles_perdus;H2;1983;1988;1;0.42;69
combles_perdus;H2;1983;1988;0;0.58;70
combles_perdus;H3;1983;1988;1;0.44;71
combles_perdus;H3;1983;1988;0;0.61;72
combles_perdus;H1;1989;2000;1;0.35;73
combles_perdus;H1;1989;2000;0;0.4;74
combles_perdus;H2;1989;2000;1;0.37;75
combles_perdus;H2;1989;2000;0;0.42;76
combles_perdus;H3;1989;2000;1;0.39;77
combles_perdus;H3;1989;2000;0;0.44;78
combles_perdus;H1;2001;2005;1;0.3;79
combles_perdus;H1;2001;2005;0;0.3;80
combles_perdus;H2;2001;2005;1;0.3;81
combles_perdus;H2;2001;2005;0;0.3;82
combles_perdus;H3;2001;2005;1;0.3;83
combles_perdus;H3;2001;2005;0;0.3;84
combles_perdus;H1;2006;2012;1;0.27;85
combles_perdus;H1;2006;2012;0;0.27;86
combles_perdus;H2;2006;2012;1;0.27;87
combles_perdus;H2;2006;2012;0;0.27;88
combles_perdus;H3;2006;2012;1;0.27;89
combles_perdus;H3;2006;2012;0;0.27;90
combles_perdus;H1;2013;;1;0.14;91
combles_perdus;H1;2013;;0;0.14;92
combles_perdus;H2;2013;;1;0.14;93
combles_perdus;H2;2013;;0;0.14;94
combles_perdus;H3;2013;;1;0.14;95
combles_perdus;H3;2013;;0;0.14;96
inconnu;H1;;1974;0;2.5;50
inconnu;H2;;1974;1;2.5;51
inconnu;H2;;1974;0;2.5;52
inconnu;H3;;1974;1;2.5;53
inconnu;H3;;1974;0;2.5;54
inconnu;H1;1975;1977;1;0.75;55
inconnu;H1;1975;1977;0;0.75;56
inconnu;H2;1975;1977;1;0.79;57
inconnu;H2;1975;1977;0;0.79;58
inconnu;H3;1975;1977;1;0.83;59
inconnu;H3;1975;1977;0;0.83;60
inconnu;H1;1978;1982;1;0.7;61
inconnu;H1;1978;1982;0;0.75;62
inconnu;H2;1978;1982;1;0.74;63
inconnu;H2;1978;1982;0;0.79;64
inconnu;H3;1978;1982;1;0.78;65
inconnu;H3;1978;1982;0;0.83;66
inconnu;H1;1983;1988;1;0.4;67
inconnu;H1;1983;1988;0;0.55;68
inconnu;H2;1983;1988;1;0.42;69
inconnu;H2;1983;1988;0;0.58;70
inconnu;H3;1983;1988;1;0.44;71
inconnu;H3;1983;1988;0;0.61;72
inconnu;H1;1989;2000;1;0.35;73
inconnu;H1;1989;2000;0;0.4;74
inconnu;H2;1989;2000;1;0.37;75
inconnu;H2;1989;2000;0;0.42;76
inconnu;H3;1989;2000;1;0.39;77
inconnu;H3;1989;2000;0;0.44;78
inconnu;H1;2001;2005;1;0.3;79
inconnu;H1;2001;2005;0;0.3;80
inconnu;H2;2001;2005;1;0.3;81
inconnu;H2;2001;2005;0;0.3;82
inconnu;H3;2001;2005;1;0.3;83
inconnu;H3;2001;2005;0;0.3;84
inconnu;H1;2006;2012;1;0.27;85
inconnu;H1;2006;2012;0;0.27;86
inconnu;H2;2006;2012;1;0.27;87
inconnu;H2;2006;2012;0;0.27;88
inconnu;H3;2006;2012;1;0.27;89
inconnu;H3;2006;2012;0;0.27;90
inconnu;H1;2013;;1;0.14;91
inconnu;H1;2013;;0;0.14;92
inconnu;H2;2013;;1;0.14;93
inconnu;H2;2013;;0;0.14;94
inconnu;H3;2013;;1;0.14;95
inconnu;H3;2013;;0;0.14;96
terrasse;H1;;1974;0;2.5;50
terrasse;H2;;1974;1;2.5;51
terrasse;H2;;1974;0;2.5;52
terrasse;H3;;1974;1;2.5;53
terrasse;H3;;1974;0;2.5;54
terrasse;H1;1975;1977;1;0.75;55
terrasse;H1;1975;1977;0;0.75;56
terrasse;H2;1975;1977;1;0.79;57
terrasse;H2;1975;1977;0;0.79;58
terrasse;H3;1975;1977;1;0.83;59
terrasse;H3;1975;1977;0;0.83;60
terrasse;H1;1978;1982;1;0.7;61
terrasse;H1;1978;1982;0;0.75;62
terrasse;H2;1978;1982;1;0.74;63
terrasse;H2;1978;1982;0;0.79;64
terrasse;H3;1978;1982;1;0.78;65
terrasse;H3;1978;1982;0;0.83;66
terrasse;H1;1983;1988;1;0.4;67
terrasse;H1;1983;1988;0;0.55;68
terrasse;H2;1983;1988;1;0.42;69
terrasse;H2;1983;1988;0;0.58;70
terrasse;H3;1983;1988;1;0.44;71
terrasse;H3;1983;1988;0;0.61;72
terrasse;H1;1989;2000;1;0.35;73
terrasse;H1;1989;2000;0;0.4;74
terrasse;H2;1989;2000;1;0.37;75
terrasse;H2;1989;2000;0;0.42;76
terrasse;H3;1989;2000;1;0.39;77
terrasse;H3;1989;2000;0;0.44;78
terrasse;H1;2001;2005;1;0.3;79
terrasse;H1;2001;2005;0;0.3;80
terrasse;H2;2001;2005;1;0.3;81
terrasse;H2;2001;2005;0;0.3;82
terrasse;H3;2001;2005;1;0.3;83
terrasse;H3;2001;2005;0;0.3;84
terrasse;H1;2006;2012;1;0.27;85
terrasse;H1;2006;2012;0;0.27;86
terrasse;H2;2006;2012;1;0.27;87
terrasse;H2;2006;2012;0;0.27;88
terrasse;H3;2006;2012;1;0.27;89
terrasse;H3;2006;2012;0;0.27;90
terrasse;H1;2013;;1;0.14;91
terrasse;H1;2013;;0;0.14;92
terrasse;H2;2013;;1;0.14;93
terrasse;H2;2013;;0;0.14;94
terrasse;H3;2013;;1;0.14;95
terrasse;H3;2013;;0;0.14;96
