presence_sas;isolation;materiau;type_vitrage;taux_vitrage/gt;taux_vitrage/lt;taux_vitrage/gte;taux_vitrage/lte;u
1;;;;;;;;1.5
0;non_isole;pvc;;;;;;3.5
0;non_isole;bois;;;;;;3.5
0;non_isole;bois_metal;;;;;;3.5
0;non_isole;metal;;;;;;5.8
0;non_isole;pvc;simple_vitrage;0;30;;;4
0;non_isole;bois;simple_vitrage;0;30;;;4
0;non_isole;bois_metal;simple_vitrage;0;30;;;4
0;non_isole;metal;simple_vitrage;0;30;;;5.8
0;non_isole;pvc;simple_vitrage;;;30;60;4.5
0;non_isole;bois;simple_vitrage;;;30;60;4.5
0;non_isole;bois_metal;simple_vitrage;;;30;60;4.5
0;non_isole;metal;simple_vitrage;;;30;60;5.8
0;non_isole;pvc;double_vitrage;0;30;;;3.3
0;non_isole;bois;double_vitrage;0;30;;;3.3
0;non_isole;bois_metal;double_vitrage;0;30;;;3.3
0;non_isole;metal;double_vitrage;0;30;;;5.5
0;non_isole;pvc;double_vitrage;;;30;60;3.3
0;non_isole;bois;double_vitrage;;;30;60;3.3
0;non_isole;bois_metal;double_vitrage;;;30;60;3.3
0;non_isole;metal;double_vitrage;;;30;60;4.8
0;non_isole;pvc;triple_vitrage;;30;;;3.3
0;non_isole;bois;triple_vitrage;;30;;;3.3
0;non_isole;bois_metal;triple_vitrage;;30;;;3.3
0;non_isole;metal;triple_vitrage;;30;;;5.5
0;non_isole;pvc;triple_vitrage;;;30;60;3.3
0;non_isole;bois;triple_vitrage;;;30;60;3.3
0;non_isole;bois_metal;triple_vitrage;;;30;60;3.3
0;non_isole;metal;triple_vitrage;;;30;60;4.8
0;isole;;;;;;;1.5
0;isole;pvc;simple_vitrage;0;30;;;4
0;isole;bois;simple_vitrage;0;30;;;4
0;isole;bois_metal;simple_vitrage;0;30;;;4
0;isole;metal;simple_vitrage;0;30;;;5.8
0;isole;pvc;simple_vitrage;;;30;60;4.5
0;isole;bois;simple_vitrage;;;30;60;4.5
0;isole;bois_metal;simple_vitrage;;;30;60;4.5
0;isole;metal;simple_vitrage;;;30;60;5.8
0;isole;;double_vitrage;;;;;1.5
0;isole;;triple_vitrage;;;;;1.5
