type_ventilation;type_generateur;type_vmc;presence_echangeur_thermique;generateur_collectif;annee_installation/gte;annee_installation/lte;qvarep_conv;qvasouf_conv;smea_conv
ventilation_mecanique;vmc_simple_flux;autoreglable;;;;1981;1.97;0;2
ventilation_mecanique;vmc_simple_flux;autoreglable;;;1982;2000;1.65;0;2
ventilation_mecanique;vmc_simple_flux;autoreglable;;;2001;2012;1.5;0;2
ventilation_mecanique;vmc_simple_flux;autoreglable;;;2013;;1.32;0;2
ventilation_mecanique;vmc_simple_flux;hygroreglable_type_a;;;;2000;1.5;0;2
ventilation_mecanique;vmc_simple_flux;hygroreglable_type_a;;;2001;2012;1.44;0;2
ventilation_mecanique;vmc_simple_flux;hygroreglable_type_a;;;2013;;1.16;0;2
ventilation_mecanique;vmc_simple_flux_gaz;;;;;2000;1.59;0;2
ventilation_mecanique;vmc_simple_flux_gaz;;;;2001;2012;1.53;0;2
ventilation_mecanique;vmc_simple_flux_gaz;;;;2013;;1.22;0;2
ventilation_mecanique;vmc_simple_flux;hygroreglable_type_b;;;;2000;1.36;0;1.5
ventilation_mecanique;vmc_simple_flux;hygroreglable_type_b;;;2001;2012;1.24;0;1.5
ventilation_mecanique;vmc_simple_flux;hygroreglable_type_b;;;2013;;1.09;0;1.5
ventilation_mecanique;vmc_basse_pression;autoreglable;;;;;1.97;0;2
ventilation_mecanique;vmc_basse_pression;hygroreglable_type_a;;;;;1.3;0;2
ventilation_mecanique;vmc_basse_pression;hygroreglable_type_b;;;;;1.24;0;1.5
ventilation_mecanique;vmc_double_flux;;1;0;;2012;0.6;0.6;0
ventilation_mecanique;vmc_double_flux;;1;0;2013;;0.26;0.26;0
ventilation_mecanique;vmc_double_flux;;1;1;;2012;0.75;0.75;0
ventilation_mecanique;vmc_double_flux;;1;1;2013;;0.46;0.46;0
ventilation_mecanique;vmc_double_flux;;0;;;2012;1.65;1.65;0
ventilation_mecanique;vmc_double_flux;;0;;2013;;1.32;1.32;0
ventilation_mecanique;ventilation_hybride;autoreglable;;;;2000;1.52;0;3
ventilation_mecanique;ventilation_hybride;autoreglable;;;2001;2012;1.33;0;3
ventilation_mecanique;ventilation_hybride;autoreglable;;;2013;;1.17;0;3
ventilation_mecanique;ventilation_hybride;hygroreglable_type_a;;;;2000;1.52;0;3
ventilation_mecanique;ventilation_hybride;hygroreglable_type_a;;;2001;2012;1.33;0;3
ventilation_mecanique;ventilation_hybride;hygroreglable_type_a;;;2013;;1.17;0;3
ventilation_mecanique;ventilation_hybride;hygroreglable_type_b;;;;2000;1.52;0;2
ventilation_mecanique;ventilation_hybride;hygroreglable_type_b;;;2001;2012;1.33;0;2
ventilation_mecanique;ventilation_hybride;hygroreglable_type_b;;;2013;;1.17;0;2
ventilation_mecanique;ventilation_mecanique;;;;;2012;2.24;0;4
ventilation_mecanique;ventilation_mecanique;;;;2013;;1.97;0;4
ventilation_mecanique;puit_climatique;;0;;;2012;0.99;0.99;0
ventilation_mecanique;puit_climatique;;0;;2013;;0.79;0.79;0
ventilation_mecanique;puit_climatique;;1;;;2012;0.36;0.36;0
ventilation_mecanique;puit_climatique;;1;;2013;;0.16;0.16;0
ventilation_mecanique;vmi;;;;;1981;1.97;0;2
ventilation_mecanique;vmi;;;;1982;2000;1.65;0;2
ventilation_mecanique;vmi;;;;2001;2012;1.5;0;2
ventilation_mecanique;vmi;;;;2013;;1.32;0;2
ventilation_mecanique;vmr;;;;;1981;1.97;0;2
ventilation_mecanique;vmr;;;;1982;2000;1.65;0;2
ventilation_mecanique;vmr;;;;2001;2012;1.5;0;2
ventilation_mecanique;vmr;;;;2013;;1.32;0;2
ventilation_naturelle_ouverture_fenetres;;;;;;;1.2;1.2;0
ventilation_naturelle_entrees_air_hautes_basses;;;;;;;2.23;0;4
ventilation_naturelle_conduit;;;;;;;2.23;0;4
ventilation_naturelle8conduit_entrees_air_hygroreglables;;;;;;;2.23;0;3
