type_ventilation;type_generateur;type_vmc;generateur_collectif;annee_installation/gte;annee_installation/lte;ratio_utilisation;pvent_moy;pvent
ventilation_mecanique;puit_climatique;;;;;0;0;0
ventilation_mecanique;ventilation_mecanique;;;;;0;0;0
ventilation_naturelle_ouverture_fenetres;;;;;;0;0;0
ventilation_naturelle_entrees_air_hautes_basses;;;;;;0;0;0
ventilation_naturelle_conduit;;;;;;0;0;0
ventilation_naturelle_conduit_entrees_air_hygroreglables;;;;;;0;0;0
ventilation_mecanique;vmc_simple_flux;autoreglable;;;2012;1;65;0.46
ventilation_mecanique;vmc_simple_flux;autoreglable;;2012;;1;35;0.25
ventilation_mecanique;vmc_simple_flux;hygroreglable_type_a;;;2012;1;50;0.46
ventilation_mecanique;vmc_simple_flux;hygroreglable_type_a;;2012;;1;15;0.25
ventilation_mecanique;vmc_simple_flux;hygroreglable_type_b;;;2012;1;50;0.46
ventilation_mecanique;vmc_simple_flux;hygroreglable_type_b;;2012;;1;15;0.25
ventilation_mecanique;vmc_simple_flux_gaz;autoreglable;;;2012;1;65;0.46
ventilation_mecanique;vmc_simple_flux_gaz;autoreglable;;2012;;1;35;0.25
ventilation_mecanique;vmc_simple_flux_gaz;hygroreglable_type_a;;;2012;1;50;0.46
ventilation_mecanique;vmc_simple_flux_gaz;hygroreglable_type_a;;2012;;1;15;0.25
ventilation_mecanique;vmc_simple_flux_gaz;hygroreglable_type_b;;;2012;1;50;0.46
ventilation_mecanique;vmc_simple_flux_gaz;hygroreglable_type_b;;2012;;1;15;0.25
ventilation_mecanique;vmc_basse_pression;autoreglable;;;2012;1;65;0.46
ventilation_mecanique;vmc_basse_pression;autoreglable;;2012;;1;35;0.25
ventilation_mecanique;vmc_basse_pression;hygroreglable_type_a;;;2012;1;50;0.46
ventilation_mecanique;vmc_basse_pression;hygroreglable_type_a;;2012;;1;15;0.25
ventilation_mecanique;vmc_basse_pression;hygroreglable_type_b;;;2012;1;50;0.46
ventilation_mecanique;vmc_basse_pression;hygroreglable_type_b;;2012;;1;15;0.25
ventilation_mecanique;vmi;;;;2012;1;65;0.46
ventilation_mecanique;vmi;;;2012;;1;35;0.25
ventilation_mecanique;vmr;;;;2012;1;65;0.46
ventilation_mecanique;vmr;;;2012;;1;35;0.25
ventilation_mecanique;vmc_double_flux;;;;2012;1;80;1.1
ventilation_mecanique;vmc_double_flux;;;2012;;1;35;0.6
ventilation_mecanique;ventilation_hybride;;1;;;0.167;65;0.46
ventilation_mecanique;ventilation_hybride;;0;;;0.083;65;0.46
